Short name,Name,Alias/MPC cpde,Alternative,Suggested standard name
,1st Moscow Gymnasium Observatory,B16,,1st Moscow Gymnasium Observatory
,21CMA,,,21CMA
,"29PREMOTE Observatory, Dauban",L27,,"29PREMOTE Observatory, Dauban"
2MASS,Two Micron All Sky Survey,,,2MASS
,"6ROADS Observatory 1, Wojnowko",K98,,"6ROADS Observatory 1, Wojnowko"
,"6ROADS Observatory 2, Nerpio",Z33,,"6ROADS Observatory 2, Nerpio"
,"7300 Observatory, Cloudcroft",H07,,"7300 Observatory, Cloudcroft"
,"A. Volta Observatory, Lanzo d'Intelvi",C44,,"A. Volta Observatory, Lanzo d'Intelvi"
AAT,Anglo-Australian Telescope,,,AAT
,Abastuman,119,,Abastuman
,"Abbey Ridge Observatory, Stillwater Lake",I22,,"Abbey Ridge Observatory, Stillwater Lake"
,Abbeydale,J94,,Abbeydale
,ABE,,,ABE
,Abu Reyhan-e Birooni Observatory,,,Abu Reyhan-e Birooni Observatory
,Abustumani Astrophysical Observatory,,,Abustumani Astrophysical Observatory
ACE,Advanced Composition Explorer,,,ACE
,Achternholt,B95,,Achternholt
ACT,Atacama Cosmology Telescope,,,ACT
,Adati,D91,,Adati
,Adirondack Public Observatory,,,Adirondack Public Observatory
,Adolphson Observatory,,,Adolphson Observatory
AEGIS,All-Wavelength Extended Groth Strip International Survey,,,AEGIS
,"AG_Sarajevo Observatory, Sarajevo",L20,,"AG_Sarajevo Observatory, Sarajevo"
,Ageo,349,,Ageo
,Ager,B54,,Ager
,"Ager, Leida",L43,,"Ager, Leida"
AGILE,Astrorivelatore Gamma ad Immagini Leggero,,,AGILE
,"AGM Observatory, Marrakech",I69,,"AGM Observatory, Marrakech"
,"AHS Observatory, Castaic",U71,,"AHS Observatory, Castaic"
,Ahtari,100,,Ahtari
,Aichtal,A62,,Aichtal
,AIM,,,AIM
,Airali Observatory,169,,Airali Observatory
,Airdrie Public Observatory,,,Airdrie Public Observatory
,Akari,Asto-F,,Akari
,Akashina,341,,Akashina
,Aker Observatory,,,Aker Observatory
,Akou,871,,Akou
,Al Sadeem Observatory,M43,,Al Sadeem Observatory
,Albigneux,A86,,Albigneux
,Albireo Observatory,K13,,Albireo Observatory
,Albox,Z90,,Albox
,Alder Springs Observatory,G53,,Alder Springs Observatory
,Aldershot Observatory,,,Aldershot Observatory
ALEXIS,Array of Low Energy X-ray Imaging Sensors,,P89-1B,ALEXIS
,Al-Fulaij Observatory,C97,,Al-Fulaij Observatory
,Algiers-Bouzareah,008,,Algiers-Bouzareah
,Algiers-Kouba,109,,Algiers-Kouba
,Alginet,J97,,Alginet
,Algonquin Radio Observatory,,,Algonquin Radio Observatory
,"Alianza S4, Cerro Burek",I08,,"Alianza S4, Cerro Burek"
,Alicante,J10,,Alicante
,Aljaraque,J32,,Aljaraque
,Alladin,,,Alladin
,Allegheny Observatory,778,,Allegheny Observatory
,"Allen, Texas",733,,"Allen, Texas"
ALMA,Atacama Large Millimeter Array,,,ALMA
,Alma-Ata,210,,Alma-Ata
,Almalex Observatory,Z92,,Almalex Observatory
,ALMO Observatory,G18,,ALMO Observatory
,Alpha Magentic Spectrometer 01,,,Alpha Magentic Spectrometer 01
,Alpha Magentic Spectrometer 02,,,Alpha Magentic Spectrometer 02
,"Alphard Observatory, Ostuni",K82,,"Alphard Observatory, Ostuni"
,Alston Observatory,Z49,,Alston Observatory
,Alt emporda Observatory,J91,,Alt emporda Observatory
,Altdorf,K40,,Altdorf
,Altenburg,A39,,Altenburg
,"Alter Satzberg, Vienna",B03,,"Alter Satzberg, Vienna"
,"Altimira Observatory, Coto de Caza",G76,,"Altimira Observatory, Coto de Caza"
,Altona,527,,Altona
,Altrincham,495,,Altrincham
,Altschwendt,A44,,Altschwendt
,"AMACS1, San Pedro de Atacama",W94,,"AMACS1, San Pedro de Atacama"
,Amanecer de Arrakis,Z74,,Amanecer de Arrakis
,Ametila de Mar Observatory,,,Ametila de Mar Observatory
,Ametlla de Mar,946,,Ametlla de Mar
AMiBA,Array for Microwave Background Anisotropy,Yuan-Tseh Lee Array for Microwave Background Anisotropy,,AMiBA
,AMM,,,AMM
,"An Carraig Observatory,",J16,,"An Carraig Observatory,"
,Ananjev,L33,,Ananjev
,Andean Northern Observatory,D01,,Andean Northern Observatory
,Anderson Mesa Station,,,Anderson Mesa Station
,Anderson Mesa Station,,,Anderson Mesa Station
,Andromeda Observatory,A76,,Andromeda Observatory
,Andrushivka Astronomical Observatory,A50,,Andrushivka Astronomical Observatory
,Angel Peaks Observatory,H17,,Angel Peaks Observatory
,Angell Hall Observatgory,,,Angell Hall Observatgory
,Ankara University Observatory,,,Ankara University Observatory
,Ann Arbor,767,,Ann Arbor
ANS,Astronomical Netherlands Satellite,,,ANS
,Antarctic Muon and Neutrino Detector Array,,,Antarctic Muon and Neutrino Detector Array
,Antarctic Submillimeter Telescope,,,Antarctic Submillimeter Telescope
ANTARES,Astronomy with a Neutrino Telescope and Abyss environmental Research,,,ANTARES
,"Antelope Hills Observatory, Bennett",H09,,"Antelope Hills Observatory, Bennett"
,Antibes,139,,Antibes
,Anunaki Observatory,Z51,,Anunaki Observatory
,"Anysllum Observatory, Ager",C07,,"Anysllum Observatory, Ager"
,"Aorangi Iti Observatory, Lake Tekapo",R57,,"Aorangi Iti Observatory, Lake Tekapo"
,Apache Point,705,,Apache Point
,Apache Point Observatory,,,Apache Point Observatory
,Apache Point-Sloan Digital Sky Survey,645,,Apache Point-Sloan Digital Sky Survey
,Apache-Sitgreaves Observatory,,,Apache-Sitgreaves Observatory
,Apapity Cosmic-Ray Station,,,Apapity Cosmic-Ray Station
,Apex,W50,,Apex
APEX,Atacama Pathfinder Experiment,,,APEX
,Apollo 15,,,Apollo 15
,Apollo 16,,,Apollo 16
,Apollo Observatory,,,Apollo Observatory
,Apollo Soyuz,,,Apollo Soyuz
,Appledorne Observatory,Z11,,Appledorne Observatory
,Aravaca,J20,,Aravaca
,Arbonne la Foret,617,,Arbonne la Foret
,Arcadia,E23,,Arcadia
,Arcetri Observatory,,,Arcetri Observatory
,"Arcetri Observatory, Florence",030,,"Arcetri Observatory, Florence"
,"Archenhold Sternwarte, Berlin-Treptow",604,,"Archenhold Sternwarte, Berlin-Treptow"
,"Arctic Space Weather Center (Yakutsk, Russia)",,,"Arctic Space Weather Center (Yakutsk, Russia)"
,Arcturus Observatory,H92,,Arcturus Observatory
,Area 52 Observatory,460,,Area 52 Observatory
,Arecibo,251,,Arecibo
,Arecibo Observatory,,,Arecibo Observatory
,Argelander Institute for Astronomy Observatory,C60,,Argelander Institute for Astronomy Observatory
,Argentine Insitute of Radio Astronomy,,,Argentine Insitute of Radio Astronomy
,Ariel V,,,Ariel V
,Ariel VI,,,Ariel VI
ARIES,Aryabhatta Research Institute of Observatorial Sciences,,,ARIES
,"Arkansas Sky Obs., Petit Jean Mountain South",H45,,"Arkansas Sky Obs., Petit Jean Mountain South"
,Armagh,981,,Armagh
,Armagh Observatory,,,Armagh Observatory
,Armilla,I53,,Armilla
,"Arroyo Observatory, Arroyo Hurtado",Z78,,"Arroyo Observatory, Arroyo Hurtado"
,"ART, Fregenal de la Sierra",Z14,,"ART, Fregenal de la Sierra"
,"Artemis Observatory, Teide",Z25,,"Artemis Observatory, Teide"
ARXA,Atlas of Radio/X0ray Associations,,,ARXA
,Aryabhata (satellite),,,Aryabhata (satellite)
,Asahikawa,396,,Asahikawa
ASCA,Advanced Satellite for Cosmology and Astrophysics,,,ASCA
,ASCE,,,ASCE
,Ascot,986,,Ascot
,Asheville,H70,,Asheville
,Ashton Observatory,,,Ashton Observatory
,Asiago Astrophysical Observatory,043,,Asiago Astrophysical Observatory
,Asiago Observatory,,,Asiago Observatory
,"Asiago Observatory, Cima Ekar",098,,"Asiago Observatory, Cima Ekar"
,"Asiago Observatory, Cima Ekar-ADAS",209,,"Asiago Observatory, Cima Ekar-ADAS"
,Asociacion Astronomica de Cartagena,Z16,,Asociacion Astronomica de Cartagena
,Assah,217,,Assah
,Assheton Observatory,,,Assheton Observatory
,"Associazione Tuscolana di Astronomia, Domatore",D06,,"Associazione Tuscolana di Astronomia, Domatore"
,Assonet,828,,Assonet
,"Astreo Observatory, Mairena del Aljarafe",I92,,"Astreo Observatory, Mairena del Aljarafe"
,Astro 2,,,Astro 2
,"Astro Dolomites, Santa Cristina Valgardena",K75,,"Astro Dolomites, Santa Cristina Valgardena"
,"AstroCamp, Nerpio",I79,,"AstroCamp, Nerpio"
,Astrodomi Observatory,I37,,Astrodomi Observatory
,Astrognosis Observatory,K01,,Astrognosis Observatory
,Astron,,,Astron
,Astronomia Para Todos Remote Observatory,Z95,,Astronomia Para Todos Remote Observatory
,"Astronomical and Geophysical Observatory, Modra",118,,"Astronomical and Geophysical Observatory, Modra"
,Astronomical Insitute Potsdam,,,Astronomical Insitute Potsdam
,"Astronomical League Alpha Observatory, Portal",G97,,"Astronomical League Alpha Observatory, Portal"
,Astronomical Observatory Aurora,,,Astronomical Observatory Aurora
,Astronomical observatory of Aosta Valley,,,Astronomical observatory of Aosta Valley
,Astronomical Observatory of Lisbon,,,Astronomical Observatory of Lisbon
,Astronomical Observatory of the Jagiellonian University,,,Astronomical Observatory of the Jagiellonian University
,Astronomical Observatory University of Siena,K54,,Astronomical Observatory University of Siena
,"Astronomical Observatory, Borowiec",187,,"Astronomical Observatory, Borowiec"
,"Astronomical Observatory, Campo Catino",468,,"Astronomical Observatory, Campo Catino"
,"Astronomical Research Observatory, Charleston",H55,,"Astronomical Research Observatory, Charleston"
